center,bldg,floor,time,raw,norm
Briscoe,Shoemaker,Floor 07,18:30:00,10,0.676771422
Briscoe,Shoemaker,Floor 07,19:00:00,10,0.676771422
Briscoe,Shoemaker,Floor 07,19:30:00,8,0.258241727
Briscoe,Shoemaker,Floor 07,20:00:00,9,0.467506574
Briscoe,Shoemaker,Floor 07,20:30:00,11,0.886036269
Briscoe,Shoemaker,Floor 07,21:00:00,11,0.886036269
Briscoe,Shoemaker,Floor 07,21:30:00,14,1.513830811
Briscoe,Shoemaker,Floor 07,22:00:00,11,0.886036269
Briscoe,Shoemaker,Floor 07,22:30:00,10,0.676771422
Briscoe,Shoemaker,Floor 07,23:00:00,9,0.467506574
Briscoe,Shoemaker,Floor 07,23:30:00,11,0.886036269
Briscoe,Shoemaker,Floor 08,00:00:00,5,-0.521164727
Briscoe,Shoemaker,Floor 08,00:30:00,3,-0.787411924
Briscoe,Shoemaker,Floor 08,01:00:00,3,-0.787411924
Briscoe,Shoemaker,Floor 08,01:30:00,2,-0.920535523
Briscoe,Shoemaker,Floor 08,02:00:00,1,-1.053659121
Briscoe,Shoemaker,Floor 08,02:30:00,1,-1.053659121
Briscoe,Shoemaker,Floor 08,03:00:00,1,-1.053659121
Briscoe,Shoemaker,Floor 08,03:30:00,0,-1.18678272
Briscoe,Shoemaker,Floor 08,04:00:00,NaN,NaN
Briscoe,Shoemaker,Floor 08,04:30:00,0,-1.18678272
Briscoe,Shoemaker,Floor 08,05:00:00,0,-1.18678272
Briscoe,Shoemaker,Floor 08,05:30:00,0,-1.18678272
Briscoe,Shoemaker,Floor 08,06:00:00,0,-1.18678272
Briscoe,Shoemaker,Floor 08,06:30:00,0,-1.18678272
Briscoe,Shoemaker,Floor 08,07:00:00,1,-1.053659121
Briscoe,Shoemaker,Floor 08,07:30:00,0,-1.18678272
Briscoe,Shoemaker,Floor 08,08:00:00,1,-1.053659121
Briscoe,Shoemaker,Floor 08,08:30:00,4,-0.654288325
