center,bldg,floor,time,raw,norm
Briscoe,Gucker,Floor 07,20:00:00,16,1.105646947
Briscoe,Gucker,Floor 07,20:30:00,15,0.963664962
Briscoe,Gucker,Floor 07,21:00:00,16,1.105646947
Briscoe,Gucker,Floor 07,21:30:00,12,0.537719007
Briscoe,Gucker,Floor 07,22:00:00,14,0.821682977
Briscoe,Gucker,Floor 07,22:30:00,22,1.957538858
Briscoe,Gucker,Floor 07,23:00:00,17,1.247628933
Briscoe,Gucker,Floor 07,23:30:00,11,0.395737022
Briscoe,Gucker,Floor 08,00:00:00,6,-0.435048911
Briscoe,Gucker,Floor 08,00:30:00,5,-0.573206336
Briscoe,Gucker,Floor 08,01:00:00,4,-0.71136376
Briscoe,Gucker,Floor 08,01:30:00,4,-0.71136376
Briscoe,Gucker,Floor 08,02:00:00,2,-0.987678609
Briscoe,Gucker,Floor 08,02:30:00,3,-0.849521185
Briscoe,Gucker,Floor 08,03:00:00,2,-0.987678609
Briscoe,Gucker,Floor 08,03:30:00,0,-1.263993459
Briscoe,Gucker,Floor 08,04:00:00,NaN,NaN
Briscoe,Gucker,Floor 08,04:30:00,0,-1.263993459
Briscoe,Gucker,Floor 08,05:00:00,0,-1.263993459
Briscoe,Gucker,Floor 08,05:30:00,0,-1.263993459
Briscoe,Gucker,Floor 08,06:00:00,0,-1.263993459
Briscoe,Gucker,Floor 08,06:30:00,0,-1.263993459
Briscoe,Gucker,Floor 08,07:00:00,0,-1.263993459
Briscoe,Gucker,Floor 08,07:30:00,0,-1.263993459
Briscoe,Gucker,Floor 08,08:00:00,0,-1.263993459
Briscoe,Gucker,Floor 08,08:30:00,1,-1.125836034
Briscoe,Gucker,Floor 08,09:00:00,2,-0.987678609
Briscoe,Gucker,Floor 08,09:30:00,3,-0.849521185
Briscoe,Gucker,Floor 08,10:00:00,2,-0.987678609
Briscoe,Gucker,Floor 08,10:30:00,10,0.117580787
Briscoe,Gucker,Floor 08,11:00:00,15,0.80836791
Briscoe,Gucker,Floor 08,11:30:00,16,0.946525334
Briscoe,Gucker,Floor 08,12:00:00,16,0.946525334
Briscoe,Gucker,Floor 08,12:30:00,11,0.255738211
Briscoe,Gucker,Floor 08,13:00:00,11,0.255738211
Briscoe,Gucker,Floor 08,13:30:00,11,0.255738211
Briscoe,Gucker,Floor 08,14:00:00,10,0.117580787
Briscoe,Gucker,Floor 08,14:30:00,7,-0.296891487
Briscoe,Gucker,Floor 08,15:00:00,13,0.53205306
Briscoe,Gucker,Floor 08,15:30:00,15,0.80836791
Briscoe,Gucker,Floor 08,16:00:00,14,0.670210485
Briscoe,Gucker,Floor 08,16:30:00,12,0.393895636
Briscoe,Gucker,Floor 08,17:00:00,20,1.499155032
Briscoe,Gucker,Floor 08,17:30:00,20,1.499155032
Briscoe,Gucker,Floor 08,18:00:00,21,1.637312457
Briscoe,Gucker,Floor 08,18:30:00,18,1.222840183
Briscoe,Gucker,Floor 08,19:00:00,15,0.80836791
Briscoe,Gucker,Floor 08,19:30:00,11,0.255738211
Briscoe,Gucker,Floor 08,20:00:00,12,0.393895636
Briscoe,Gucker,Floor 08,20:30:00,16,0.946525334
Briscoe,Gucker,Floor 08,21:00:00,21,1.637312457
Briscoe,Gucker,Floor 08,21:30:00,20,1.499155032
Briscoe,Gucker,Floor 08,22:00:00,20,1.499155032
Briscoe,Gucker,Floor 08,22:30:00,16,0.946525334
Briscoe,Gucker,Floor 08,23:00:00,15,0.80836791
Briscoe,Gucker,Floor 08,23:30:00,10,0.117580787
Briscoe,Gucker,Floor 09,00:00:00,21,0.22230553
Briscoe,Gucker,Floor 09,00:30:00,17,-0.53757519
Briscoe,Gucker,Floor 09,01:00:00,16,-0.72754537
Briscoe,Gucker,Floor 09,01:30:00,16,-0.72754537
Briscoe,Gucker,Floor 09,02:00:00,15,-0.91751555
Briscoe,Gucker,Floor 09,02:30:00,14,-1.10748573
Briscoe,Gucker,Floor 09,03:00:00,14,-1.10748573
Briscoe,Gucker,Floor 09,03:30:00,14,-1.10748573
Briscoe,Gucker,Floor 09,04:00:00,NaN,NaN
Briscoe,Gucker,Floor 09,04:30:00,14,-1.10748573
Briscoe,Gucker,Floor 09,05:00:00,14,-1.10748573
Briscoe,Gucker,Floor 09,05:30:00,14,-1.10748573
Briscoe,Gucker,Floor 09,06:00:00,13,-1.29745591
Briscoe,Gucker,Floor 09,06:30:00,13,-1.29745591
Briscoe,Gucker,Floor 09,07:00:00,14,-1.10748573
Briscoe,Gucker,Floor 09,07:30:00,14,-1.10748573
Briscoe,Gucker,Floor 09,08:00:00,14,-1.10748573
Briscoe,Gucker,Floor 09,08:30:00,14,-1.10748573
Briscoe,Gucker,Floor 09,09:00:00,14,-1.10748573
Briscoe,Gucker,Floor 09,09:30:00,16,-0.72754537
Briscoe,Gucker,Floor 09,10:00:00,19,-0.15763483
Briscoe,Gucker,Floor 09,10:30:00,20,0.03233535
Briscoe,Gucker,Floor 09,11:00:00,20,0.03233535
Briscoe,Gucker,Floor 09,11:30:00,18,-0.34760501
Briscoe,Gucker,Floor 09,12:00:00,18,-0.34760501
Briscoe,Gucker,Floor 09,12:30:00,20,0.03233535
Briscoe,Gucker,Floor 09,13:00:00,25,0.98218625
Briscoe,Gucker,Floor 09,13:30:00,27,1.36212661
Briscoe,Gucker,Floor 09,14:00:00,26,1.17215643
Briscoe,Gucker,Floor 09,14:30:00,24,0.79221607
Briscoe,Gucker,Floor 09,15:00:00,30,1.93203715
Briscoe,Gucker,Floor 09,15:30:00,31,2.12200733
